Week,GIC Rates
2020-12-31,10.0
2021-01-31,12.8
2021-02-28,13.5
2021-03-31,10.25
2021-04-30,11.0
2021-05-31,8.8
2021-06-30,8.0
2021-07-31,8.0
2021-08-31,7.4
2021-09-30,7.25
2021-10-31,8.4
2021-11-30,8.0
2021-12-31,9.0
2022-01-31,15.8
2022-02-28,18.0
2022-03-31,19.25
2022-04-30,33.0
2022-05-31,34.6
2022-06-30,47.0
2022-07-31,68.8
2022-08-31,46.75
2022-09-30,70.0
2022-10-31,64.0
2022-11-30,51.0
2022-12-31,63.75
2023-01-31,64.4
2023-02-28,50.75
2023-03-31,45.25
2023-04-30,34.8
2023-05-31,28.5
2023-06-30,46.75
2023-07-31,53.6
2023-08-31,42.0
2023-09-30,42.75
2023-10-31,43.2
2023-11-30,41.25
2023-12-31,41.8
2024-01-31,40.0
2024-02-29,35.75
2024-03-31,29.0
2024-04-30,26.5
2024-05-31,23.75
2024-06-30,25.8
2024-07-31,27.25
2024-08-31,27.5
2024-09-30,26.8
2024-10-31,27.75
2024-11-30,23.5
2024-12-31,25.4
2025-01-31,29.0
2025-02-28,28.25
2025-03-31,28.2
2025-04-30,24.75
2025-05-31,22.5
2025-06-30,21.6
2025-07-31,23.75
2025-08-31,22.2
2025-09-30,21.25
2025-10-31,20.75
2025-11-30,20.2
2025-12-31,18.0
